Timestamp,Your name,Your Twitter handle,Your Message in 200 characters
2021-10-26 21:15:47,Vichy,@Vichyn5,お誕生日おめでとうございます！！。一年を通して幸せと幸運が訪れますように
2021-10-26 22:44:13,Arzee,arzee92253660,Happy Birthday Kotone!!
2021-10-26 23:29:22,Zytron,ZytronZyt,"Happy Birthday Kotone-sama!
Thank you for all the amazing originals and covers you have sang~
I hope you have a wonderful day!"
2021-10-27 08:24:25,ame。,@amedayooooo,"ことね様
お誕生日おめでとう！！！
大好きだ"
2021-10-27 10:04:52,Viktor,@Tennen_Vik,"Kotone-chan, Happy Birthday!
I love the energy and enthusiasm you show on stream, it's catchy, funny and absolutely endearing.
Today's your special day and I hope you have a great time! Cheers!"
2021-10-27 11:36:47,dogbear,@d0gb36r,Kotone-sama! Happy birthday! You are the best God in the universe! I love you very much! I will always be your useless worshiper! ~❤️
2021-10-27 12:22:44,joefu,@joefu12,Happy Birthday Kotone! Your singing is amazing and it's great how much you try to communicate with your overseas fans! I hope you have an amazing year! Kotone is GOD!!!
2021-10-27 13:12:51,Kon,@Kon7216,ことね様！お誕生日おめでとうございます！！！！！ことね様の願いがすべて叶いますように！！！
2021-10-27 15:33:26,テンセイ,@tnsipla,子兎音様、誕生日おめでとうございます！
2021-10-27 23:12:08,Monkinator,@InarThe,"I've been following you for a while now and I have to say; you're very seiso, I love your collab, I love your apex stream I love everything about you Kotone-sama!"
2021-10-28 00:22:34,PhylumSync,@KineticPhylum,Happy birthday grandma!
2021-10-28 00:22:34,ALOLA,@bmpkrs,"Happy Birthday Kotone ! 
Keep shining everyday for us :D"
2021-10-29 09:08:47,Shonver,@Shonver1,Happy birthday Kotone-sama! Thank you for always working so hard and making amazing memories with us! Your singing has helped me so much and I wish your voice reaches the hearts of even more people!
2021-10-29 09:21:42,tekkeX,@tekkeX,"Happy birthday Kotone-sama! I've only discovered you this year but I still feel a strong connection. Please continue to create new music in the future, I'm looking forward to your next album. Here's to another year!"
2021-11-01 02:36:07,Ryukato,@Ryu_no_Baka,"This is actually the 1st time i send a Congratz Message to You Kotone-san, But still Happy Birthday and May you a Best Wishes Come True~
Actually get to Know you from Tokino Sora-san from Hololive, and been Listening to your Songs alot since then~
Always Love and Support you No Matter What!!"
2021-11-09 15:17:34,risingtsun,@therisingtsun,Kotone-sama! Happy birthday! You are very cool and I love listening to your music and song covers! ♥ I am happy to have been following you for a long time!
2021-11-09 20:31:30,スフィアマスター,@mastersphere,"Happy Birthday Kotone sama , I love you and your song so much."
2021-11-09 20:45:34,Deathstrike,@Deathstrike__,"Happy Birthday Kotone-sama 🎂
Thank you for blessing us with your beautiful voice!
私たちいつも子兎音様愛し応援して💖
いつもあなたの健康と幸せを祈ります~"
2021-11-09 20:46:09,Naught,@NaughtSomething,"Tenjin Kotone様、お誕生日おめでとうございます～！

私は日本語勉強中ですけど、Kotone様に私のメッセージを伝えたらいいと思います。

今年はTenjin Kotone様のオリジナル曲と歌ってみた曲がさすがに素敵なんだからすごく楽しかったのです！Kotone様の歌声とコトエモン声をもっと聞いて欲しい～！お楽しみです！

お誕生日おめでとうございます！"
2021-11-09 21:04:59,Suan,@OcchiSuan,"ことね様お誕生日おめでとうございます！お歌上手すぎて毎日聞きますそして配信はいつも面白いです。
私にとってことね様はまぶしく輝いています！"
